iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Shoppers Stack RESTful Web Service documentation","Get Admin Details by Id","GET","https://www.shoppersstack.com/shopping/admin/331227","OK","200","171","559","response message, userId is not empty, role is ADMIN, phone number is not empty","Status code is 200",,"5","4","1","0"
"1","Shoppers Stack RESTful Web Service documentation","Update admin details by Id","PUT","https://www.shoppersstack.com/shopping/admin/330379","OK","200","55","409","response message, userId is not empty, role is ADMIN, firstname is not empty",,,"4","4","0","0"
"1","Shoppers Stack RESTful Web Service documentation","Register as Admin","POST","https://www.shoppersstack.com/shopping/admin","Created","201","295","422","Body matches string, zoneId is not undefined, Creation message is correct","Creation date is not empty",,"4","3","1","0"
"1","Shoppers Stack RESTful Web Service documentation","Validates bank account credential","POST","https://www.shoppersstack.com/shopping/bankaccounts/login?bankName=string","Bad Request","400","55","142",,,,"0","0","0","0"
"1","Shoppers Stack RESTful Web Service documentation","Get all bank account of shopper","GET","https://www.shoppersstack.com/shopping/bankaccounts?shopperId=330355","OK","200","42","331","Response message is correct, Bank account number is not undefined, Bank account number is not null, Bank account balance is not undefined, Bank account ID is not empty",,,"5","5","0","0"
"1","Shoppers Stack RESTful Web Service documentation","Create bank account","POST","https://www.shoppersstack.com/shopping/bankaccounts?bankName=IDHC&email=hey7@gmail.com&shopperId=330355","Conflict","409","50","150","Bank account number is not null","Response message is correct, Bank account number is not undefined",,"3","1","2","0"
"1","Shoppers Stack RESTful Web Service documentation","Update bank account balance","PATCH","https://www.shoppersstack.com/shopping/bankaccounts?action=string&amount=1&number=741852969751","OK","200","53","340","Response message is correct, Bank account number is not undefined, Bank account number is not null, Bank account balance is not undefined, Bank account ID is not empty",,,"5","5","0","0"
"1","Shoppers Stack RESTful Web Service documentation","Returns all the available bank names","GET","https://www.shoppersstack.com/shopping/banks","OK","200","48","133","Check if the response message, array of data is not empty",,,"2","2","0","0"
"1","Shoppers Stack RESTful Web Service documentation","Validates bank card with amount","POST","https://www.shoppersstack.com/shopping/cards/transaction?amount=8166.259592406317","Bad Request","400","62","122",,,,"0","0","0","0"
"1","Shoppers Stack RESTful Web Service documentation","Validates bank card","POST","https://www.shoppersstack.com/shopping/cards/verify","Bad Request","400","64","122",,,,"0","0","0","0"
